assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,shawty#)$@,76561199557907229,prosto bo$$,76561199068251294,False,False,28.477797,0,33,0,True,head,True,False,1,0,False,93170,Faat,76561198171814417,galilar,17293822569102704653,0,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,19.945307,0,113,0,False,chest,True,False,0,0,False,94659,Moon,76561198049602148,awp,17293822569149759497,51434300216,,0
False,,,zig,76561198274174345,False,False,25.033997,0,123,0,True,head,True,False,0,0,False,94747,RME | Пацан,76561199826895670,p250,17293822569135538212,50198453353,,0
False,RME | Пацан,76561199826895670,Simple Dimple skins.army,76561199433997570,False,False,10.80038,0,114,0,False,chest,True,False,0,0,False,95075,zig,76561198274174345,awp,17293822569149759497,51434300216,,0
False,,,frees.tyler,76561198002613044,False,False,17.658062,0,30,0,False,chest,True,False,0,0,False,97569,Simple Dimple skins.army,76561199433997570,usp_silencer,17293822569154871357,45420733285,,0
False,zig,76561198274174345,frees.tyler,76561198002613044,False,False,11.604811,7,16,0,False,chest,True,False,0,0,False,97763,prosto bo$$,76561199068251294,usp_silencer,17293822569154871357,45420733285,,0
False,,,,,False,False,0.0,0,158,0,False,generic,False,False,0,0,False,97940,frees.tyler,76561198002613044,planted_c4,,,,0
False,,,frees.tyler,76561198002613044,False,False,9.183371,4,20,0,False,chest,True,False,0,0,False,101029,Wybaczam.oficjalnie skins.army,76561199256543526,famas,17293822569189277706,47264694178,,0
False,,,prosto bo$$,76561199068251294,False,False,24.364174,3,26,0,False,chest,True,False,0,0,False,101636,zig,76561198274174345,ak47,17293822569102704647,0,,0
False,zig,76561198274174345,Worfy,76561199052717313,False,False,19.918352,16,50,0,True,head,True,False,0,0,False,102324,prosto bo$$,76561199068251294,mp9,17293822569102704674,0,,0
False,prosto bo$$,76561199068251294,shawty#)$@,76561199557907229,False,False,13.36613,0,123,0,True,head,True,False,0,0,False,102386,Worfy,76561199052717313,m4a1_silencer,17293822569176760380,50969993449,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,17.838146,3,27,0,False,chest,True,False,0,0,False,102861,Moon,76561198049602148,ak47,17293822569102704647,0,,0
False,,,RME | Пацан,76561199826895670,False,False,47.12357,1,135,0,False,stomach,True,False,0,0,True,103768,Faat,76561198171814417,awp,17293822569149759497,51434300216,,0
False,Faat,76561198171814417,frees.tyler,76561198002613044,False,False,26.842833,4,19,0,False,chest,True,False,0,0,False,103936,Simple Dimple skins.army,76561199433997570,famas,17293822569189277706,47264694178,,0
False,Simple Dimple skins.army,76561199433997570,RME | Пацан,76561199826895670,False,False,23.768848,1,110,0,False,chest,True,False,0,0,True,104429,frees.tyler,76561198002613044,awp,17293822569149759497,51434300216,,0
False,,,shawty#)$@,76561199557907229,False,False,10.69489,15,109,0,True,head,True,False,0,0,False,107264,frees.tyler,76561198002613044,ak47,17293822569102704647,0,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,2.5363994,4,27,0,False,chest,True,False,0,0,True,108037,Moon,76561198049602148,ak47,17293822569102704647,0,,0
False,,,shawty#)$@,76561199557907229,False,False,13.083178,0,141,0,True,head,True,False,0,0,False,108334,Worfy,76561199052717313,ak47,17293822569102704647,0,,0
False,Simple Dimple skins.army,76561199433997570,zig,76561198274174345,False,False,11.47306,4,16,0,False,chest,True,False,0,0,False,110622,Wybaczam.oficjalnie skins.army,76561199256543526,mp7,17293822569102704673,0,,0
False,frees.tyler,76561198002613044,Faat,76561198171814417,False,False,10.628515,5,25,0,False,chest,True,False,0,0,False,110802,shawty#)$@,76561199557907229,m4a1_silencer,17293822569102704700,0,,0
False,,,Faat,76561198171814417,False,False,9.750409,6,31,0,False,stomach,True,False,0,0,False,110907,prosto bo$$,76561199068251294,m4a1_silencer,17293822569102704700,0,,0
False,Simple Dimple skins.army,76561199433997570,RME | Пацан,76561199826895670,False,False,8.910508,8,15,0,False,stomach,True,False,0,0,False,110981,Faat,76561198171814417,glock,17293822569102901252,49658502755,,0
False,,,frees.tyler,76561198002613044,False,False,10.290801,18,55,0,True,head,True,False,0,0,True,113977,prosto bo$$,76561199068251294,mp9,17293822569190588450,50627861473,,0
False,,,zig,76561198274174345,False,False,26.384579,15,107,0,True,head,True,False,0,0,True,114145,shawty#)$@,76561199557907229,ak47,17293822569102704647,0,,0
False,,,RME | Пацан,76561199826895670,False,False,26.50104,1,109,0,False,chest,True,False,0,0,False,114275,Faat,76561198171814417,awp,17293822569149759497,51434300216,,0
False,prosto bo$$,76561199068251294,Wybaczam.oficjalnie skins.army,76561199256543526,False,False,33.667244,1,136,0,False,stomach,True,False,0,0,False,114771,frees.tyler,76561198002613044,awp,17293822569102704649,0,,0
False,,,Simple Dimple skins.army,76561199433997570,False,False,12.090902,3,27,0,False,right_arm,True,False,0,0,False,114925,Moon,76561198049602148,ak47,17293822569102704647,0,,0
False,,,zig,76561198274174345,False,False,2.9811988,4,27,0,False,chest,True,False,0,0,False,115648,RME | Пацан,76561199826895670,ak47,17293822569102704647,0,,0
False,,,zig,76561198274174345,False,False,6.7825494,4,27,0,False,right_arm,True,False,0,0,True,115660,Simple Dimple skins.army,76561199433997570,ak47,17293822569102704647,0,,0
False,frees.tyler,76561198002613044,Worfy,76561199052717313,False,False,14.358742,0,35,0,False,chest,True,False,0,0,False,116070,Wybaczam.oficjalnie skins.army,76561199256543526,m4a1_silencer,17293822569102704700,0,,0
