canzoom,defindex,hassilencer,hastracers,ispainted,issilenced,item,tick,user_name,user_steamid,weptype
False,0,False,False,False,False,knife,12913,shawty#)$@,76561199557907229,0
False,0,False,True,True,False,glock,12918,Faat,76561198171814417,1
True,0,False,True,False,False,ssg08,12922,Faat,76561198171814417,5
False,0,False,False,False,False,knife,12962,Faat,76561198171814417,0
False,0,True,True,True,True,hkp2000,13022,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,knife,13024,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,m4a1,13025,prosto bo$$,76561199068251294,3
False,0,False,False,False,False,knife,13063,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,m4a1,13104,prosto bo$$,76561199068251294,3
False,0,True,True,True,True,hkp2000,13126,Simple Dimple skins.army,76561199433997570,1
False,0,True,True,False,True,m4a1,13161,Simple Dimple skins.army,76561199433997570,3
False,0,True,True,True,True,hkp2000,13180,Simple Dimple skins.army,76561199433997570,1
False,0,True,True,False,True,m4a1,13250,Simple Dimple skins.army,76561199433997570,3
False,0,False,False,False,False,knife,13272,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,hkp2000,13345,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,13382,Simple Dimple skins.army,76561199433997570,0
False,0,True,True,False,True,m4a1,13384,Simple Dimple skins.army,76561199433997570,3
False,0,True,True,True,True,hkp2000,13385,Simple Dimple skins.army,76561199433997570,1
False,0,False,False,False,False,knife,13430,Simple Dimple skins.army,76561199433997570,0
False,0,False,False,False,False,c4,13520,frees.tyler,76561198002613044,7
False,0,True,True,True,True,hkp2000,13536,Simple Dimple skins.army,76561199433997570,1
False,0,True,True,False,True,m4a1,13565,Simple Dimple skins.army,76561199433997570,3
False,0,True,True,True,True,m4a1,13592,prosto bo$$,76561199068251294,3
False,0,False,True,False,False,mp9,13611,shawty#)$@,76561199557907229,2
False,0,False,False,False,False,knife,13681,prosto bo$$,76561199068251294,0
False,0,False,True,True,False,mac10,13812,frees.tyler,76561198002613044,2
False,0,True,True,True,True,hkp2000,13850,prosto bo$$,76561199068251294,1
True,0,False,True,False,False,ssg08,13936,Faat,76561198171814417,5
False,0,True,True,True,True,m4a1,13941,prosto bo$$,76561199068251294,3
False,0,False,False,False,False,flashbang,14208,shawty#)$@,76561199557907229,9
False,0,False,True,False,False,mp9,14289,shawty#)$@,76561199557907229,2
False,0,False,True,True,False,glock,14415,Faat,76561198171814417,1
True,0,False,True,False,False,ssg08,14422,Faat,76561198171814417,5
False,0,False,False,False,False,knife,14462,Faat,76561198171814417,0
True,0,False,True,False,False,ssg08,14533,Faat,76561198171814417,5
False,0,True,True,True,True,hkp2000,14682,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,knife,14685,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,m4a1,14731,prosto bo$$,76561199068251294,3
False,0,False,True,True,False,glock,14787,frees.tyler,76561198002613044,1
False,0,False,True,False,False,mp9,14799,frees.tyler,76561198002613044,2
False,0,False,True,True,False,glock,14964,Faat,76561198171814417,1
True,0,False,True,False,False,ssg08,14970,Faat,76561198171814417,5
False,0,False,False,False,False,knife,14993,Faat,76561198171814417,0
False,0,False,False,True,False,knife,15034,frees.tyler,76561198002613044,0
False,0,False,False,False,False,knife,15401,Moon,76561198049602148,0
False,0,False,True,True,False,glock,15401,Moon,76561198049602148,1
False,0,False,False,False,False,knife,15401,zig,76561198274174345,0
False,0,False,True,True,False,glock,15401,zig,76561198274174345,1
False,0,False,False,True,False,knife,15401,Worfy,76561199052717313,0
False,0,False,True,True,False,glock,15401,Worfy,76561199052717313,1
False,0,False,False,False,False,knife,15401,prosto bo$$,76561199068251294,0
False,0,True,True,True,True,hkp2000,15401,prosto bo$$,76561199068251294,1
False,0,False,False,False,False,knife,15401,Wybaczam.oficjalnie skins.army,76561199256543526,0
